Species,Scientific_name,Place,Date,Start_time,End_time,Count,List_type
Garganey,Spatula querquedula,North Beach Eilat,31/03/2019,17:00,17:00,4,Incomplete
Garganey,Spatula querquedula,Km20 saltpans,29/03/2019,16:45,18:30,c50,Complete
Garganey,Spatula querquedula,North Beach Eilat,28/03/2019,17:40,18:20,c35,Complete
Shoveler,Spatula clypeata,Km19 sewage pond,29/03/2019,18:40,18:44,1,Complete
Shoveler,Spatula clypeata,Km20 saltpans,29/03/2019,16:45,18:30,1,Complete
Shoveler,Spatula clypeata,North Beach Eilat,28/03/2019,17:40,18:20,c40,Complete
Shoveler,Spatula clypeata,Navit Pools,28/03/2019,06:05,06:30,Present,Complete
Mallard,Anas platyrhynchos,IBRCE,01/04/2019,18:15,19:30,Present,Complete
Mallard,Anas platyrhynchos,IBRCE,31/03/2019,17:20,19:30,3,Complete
Pintail,Anas acuta,Km19 sewage pond,29/03/2019,18:40,18:44,4,Complete
Pintail,Anas acuta,Km20 saltpans,29/03/2019,16:45,18:30,c5,Complete
Teal,Anas crecca,Km19 sewage pond,29/03/2019,18:40,18:44,1,Complete
Teal,Anas crecca,Navit Pools,28/03/2019,06:05,06:30,Present,Complete
Ferruginous Duck,Aythya nyroca,Navit Pools,28/03/2019,06:05,06:30,Present,Complete
Chukar Partridge,Alectoris chukar,Ezuz,01/04/2019,11:05,11:50,3,Complete
Sand Partridge,Ammoperdix heyi,Nizzana,01/04/2019,11:50,11:50,1,Incomplete
Sand Partridge,Ammoperdix heyi,wadi south of Navit,28/03/2019,06:40,07:35,Present,Complete
Quail,Coturnix coturnix,Yotvata circular fields,31/03/2019,06:15,09:45,2,Complete
Little Grebe,Tachybaptus ruficollis,Km19 sewage pond,29/03/2019,18:40,18:44,1,Complete
Greater Flamingo,Phoenicopterus roseus,Km2 saltpans,01/04/2019,17:50,18:09,3,Complete
Greater Flamingo,Phoenicopterus roseus,IBRCE,31/03/2019,17:20,19:30,c15,Complete
Greater Flamingo,Phoenicopterus roseus,Km2 saltpans,31/03/2019,16:20,16:30,9,Complete
Greater Flamingo,Phoenicopterus roseus,Km20 saltpans,29/03/2019,16:45,18:30,c100,Complete
Greater Flamingo,Phoenicopterus roseus,Km2 saltpans,29/03/2019,16:35,16:45,c15,Complete
Black Stork,Ciconia nigra,R25 mountains,02/04/2019,11:00,11:00,13,Incomplete
White Stork,Ciconia ciconia,Meyshar,01/04/2019,14:10,14:44,100+,Complete
White Stork,Ciconia ciconia,Yotvata circular fields,31/03/2019,06:15,09:45,c10,Complete
White Stork,Ciconia ciconia,Yotvata circular fields,28/03/2019,12:50,13:45,24,Complete
White Stork,Ciconia ciconia,North Israel (Tel Aviv to Dead Sea),27/03/2019,16:00,18:00,c75,Incomplete
Spoonbill,Platalea leucorodia,Navit Pools,28/03/2019,06:05,06:30,1,Complete
Little Bittern,Ixobrychus minutus,IBRCE,01/04/2019,18:15,19:30,1,Complete
Little Bittern,Ixobrychus minutus,IBRCE,31/03/2019,17:20,19:30,1,Complete
Night Heron,Nycticorax nycticorax,IBRCE,01/04/2019,18:15,19:30,3,Complete
Night Heron,Nycticorax nycticorax,IBRCE,31/03/2019,17:20,19:30,8+,Complete
Night Heron,Nycticorax nycticorax,IBRCE,29/03/2019,18:45,19:30,c10,Incomplete
Night Heron,Nycticorax nycticorax,North Beach Eilat,28/03/2019,17:40,18:20,9,Complete
Night Heron,Nycticorax nycticorax,Navit Pools,28/03/2019,06:05,06:30,3+,Complete
Squacco Heron,Ardeola ralloides,Km19 sewage pond,29/03/2019,18:40,18:44,2,Complete
Squacco Heron,Ardeola ralloides,Km20 saltpans,29/03/2019,16:45,18:30,1,Complete
Cattle Egret,Bubulcus ibis,Yotvata circular fields,31/03/2019,06:15,09:45,c25,Complete
Cattle Egret,Bubulcus ibis,North Israel (Tel Aviv to Dead Sea),27/03/2019,16:00,18:00,c50,Incomplete
Grey Heron,Ardea cinerea,IBRCE,01/04/2019,18:15,19:30,2,Complete
Grey Heron,Ardea cinerea,IBRCE,31/03/2019,17:20,19:30,Present,Complete
Grey Heron,Ardea cinerea,Km19 sewage pond,29/03/2019,18:40,18:44,1,Complete
Grey Heron,Ardea cinerea,Km20 saltpans,29/03/2019,16:45,18:30,2,Complete
Grey Heron,Ardea cinerea,Km2 saltpans,29/03/2019,16:35,16:45,Present,Complete
Grey Heron,Ardea cinerea,North Beach Eilat,28/03/2019,17:40,18:20,1,Complete
Grey Heron,Ardea cinerea,Eilat canal,28/03/2019,14:35,14:54,Present,Complete
Grey Heron,Ardea cinerea,Navit Pools,28/03/2019,06:05,06:30,1,Complete
Purple Heron,Ardea purpurea,IBRCE,01/04/2019,18:15,19:30,c80,Complete
Purple Heron,Ardea purpurea,IBRCE,31/03/2019,17:20,19:30,5,Complete
Purple Heron,Ardea purpurea,IBRCE,29/03/2019,18:45,19:30,1+,Incomplete
Purple Heron,Ardea purpurea,IBRCE,28/03/2019,15:00,15:49,Present,Complete
Little Egret,Egretta garzetta,IBRCE,01/04/2019,18:15,19:30,1,Complete
Little Egret,Egretta garzetta,IBRCE,31/03/2019,17:20,19:30,3,Complete
Little Egret,Egretta garzetta,Km2 saltpans,31/03/2019,16:20,16:30,3,Complete
Little Egret,Egretta garzetta,Km19 sewage pond,29/03/2019,18:40,18:44,c5,Complete
Little Egret,Egretta garzetta,Km20 saltpans,29/03/2019,16:45,18:30,1,Complete
Little Egret,Egretta garzetta,Eilat canal,28/03/2019,14:35,14:54,Present,Complete
Little Egret,Egretta garzetta,Yotvata circular fields,28/03/2019,12:50,13:45,Present,Complete
Cormorant,Phalacrocorax carbo,IBRCE,31/03/2019,17:20,19:30,1,Complete
Cormorant,Phalacrocorax carbo,IBRCE,28/03/2019,15:00,15:49,Present,Complete
Short-toed Eagle,Circaetus gallicus,R6 south of Tel Aviv,02/04/2019,12:00,12:00,1+,Incomplete
Lesser Spotted Eagle,Clanga pomarina,Nizzana,01/04/2019,07:25,09:59,1,Complete
Steppe Eagle,Aquila nipalensis,IBRCE,01/04/2019,18:15,19:30,1,Complete
Steppe Eagle,Aquila nipalensis,Nizzana,01/04/2019,07:25,09:59,1,Complete
Steppe Eagle,Aquila nipalensis,Eilat mountains,30/03/2019,06:40,08:50,1,Incomplete
Sparrowhawk,Accipiter nisus,Yotvata circular fields,31/03/2019,06:15,09:45,1,Complete
Marsh Harrier,Circus aeruginosus,Meyshar,01/04/2019,14:10,14:44,Present,Complete
Marsh Harrier,Circus aeruginosus,IBRCE,31/03/2019,17:20,19:30,1,Complete
Marsh Harrier,Circus aeruginosus,Yotvata circular fields,31/03/2019,06:15,09:45,3,Complete
Hen Harrier,Circus cyaneus,Yotvata circular fields,31/03/2019,06:15,09:45,1,Complete
Pallid Harrier,Circus macrourus,Km94 R90,02/04/2019,06:40,09:10,1,Complete
Pallid Harrier,Circus macrourus,Yotvata circular fields,31/03/2019,06:15,09:45,1,Complete
Montagu's Harrier,Circus pygargus,Yotvata circular fields,31/03/2019,06:15,09:45,1,Complete
Black Kite,Milvus migrans,IBRCE,01/04/2019,18:15,19:30,30,Complete
Black Kite,Milvus migrans,"South Beach, Eilat",30/03/2019,17:40,17:40,Present,Incomplete
Black Kite,Milvus migrans,Eilat mountains,30/03/2019,06:40,08:50,1,Incomplete
Black Kite,Milvus migrans,R90 Dead Sea to Eilat,28/03/2019,06:00,14:30,Present,Incomplete
Buzzard,Buteo buteo,Yotvata circular fields,31/03/2019,06:15,09:45,1,Complete
Buzzard (Steppe - vulpinus),Buteo buteo vulpinus,IBRCE,01/04/2019,18:15,19:30,c200,Complete
Buzzard (Steppe - vulpinus),Buteo buteo vulpinus,IBRCE,31/03/2019,17:20,19:30,Present,Complete
Buzzard (Steppe - vulpinus),Buteo buteo vulpinus,Eilat mountains,30/03/2019,06:40,08:50,220+,Incomplete
Buzzard (Steppe - vulpinus),Buteo buteo vulpinus,"South Beach, Eilat",29/03/2019,14:20,14:50,Present,Complete
